n_steps,scenario,Is,infection_period,detection_time,reinfection_probability,Ns,peak_value,peak_time,β_det,death_rate,β_und,migration_intensity,seed,C
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.33288859239492996,30,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.0,42,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.3327775925308436,35,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.0,43,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.33311103701233746,31,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.0,44,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,38,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.1,42,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,70,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.1,43,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.9996663329996663,37,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.1,44,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.9996226415094339,111,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.2,42,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,55,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.2,43,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,131,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.2,44,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.9993197278911564,44,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.3,42,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,41,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.3,43,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.9996663329996663,34,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.3,44,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.9996374184191443,94,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.4,42,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,43,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.4,43,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.0013333333333333333,8,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.4,44,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,61,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.5,42,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.9993311036789297,41,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.5,43,3
150,Низкая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,62,"[0.03, 0.03, 0.03]",0.02,"[0.3, 0.3, 0.3]",0.5,44,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.33311103701233746,14,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.0,42,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.3333333333333333,14,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.0,43,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.3333333333333333,17,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.0,44,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,16,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.1,42,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,15,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.1,43,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,35,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.1,44,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,16,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.2,42,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,15,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.2,43,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,17,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.2,44,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,15,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.3,42,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,17,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.3,43,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,19,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.3,44,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,18,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.4,42,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,18,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.4,43,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,21,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.4,44,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,20,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.5,42,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,21,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.5,43,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,19,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.5,44,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.3333333333333333,10,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.0,42,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.3333333333333333,10,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.0,43,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.3333333333333333,11,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.0,44,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,13,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.1,42,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,11,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.1,43,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,12,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.1,44,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,13,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.2,42,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,11,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.2,43,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,13,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.2,44,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,11,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.3,42,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,11,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.3,43,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,14,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.3,44,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,11,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.4,42,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,14,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.4,43,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,11,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.4,44,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,14,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.5,42,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,13,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.5,43,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,15,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.5,44,3
