S0,I0,R0,beta,c,gamma,reproduction_number,tmax,seed,peak_I,peak_time,final_S,final_I,final_R,final_size,epidemic_duration,events_count,scenario,replication
990,10,0,0.03,10.0,0.25,1.2,100.0,1101,10,0.0,969,0,31,31,100.0,52,beta_scan,1
990,10,0,0.03,10.0,0.25,1.2,100.0,1102,46,30.194017132414288,566,0,434,434,100.0,858,beta_scan,2
990,10,0,0.03,10.0,0.25,1.2,100.0,1103,12,4.809466648127014,943,0,57,57,100.0,104,beta_scan,3
990,10,0,0.03,10.0,0.25,1.2,100.0,1104,13,0.9456784809151699,958,0,42,42,100.0,74,beta_scan,4
990,10,0,0.03,10.0,0.25,1.2,100.0,1105,22,41.17832662401667,803,8,189,189,100.0,376,beta_scan,5
990,10,0,0.05,10.0,0.25,2.0,100.0,1201,168,18.38001768486002,196,0,804,804,100.0,1598,beta_scan,1
990,10,0,0.05,10.0,0.25,2.0,100.0,1202,190,13.769262361796075,218,0,782,782,100.0,1554,beta_scan,2
990,10,0,0.05,10.0,0.25,2.0,100.0,1203,179,18.39648524425351,158,0,842,842,100.0,1674,beta_scan,3
990,10,0,0.05,10.0,0.25,2.0,100.0,1204,175,18.37025186037195,190,0,810,810,100.0,1610,beta_scan,4
990,10,0,0.05,10.0,0.25,2.0,100.0,1205,173,16.211646098747984,218,0,782,782,100.0,1554,beta_scan,5
990,10,0,0.07,10.0,0.25,2.8000000000000003,100.0,1301,277,11.774537145775627,53,0,947,947,100.0,1884,beta_scan,1
990,10,0,0.07,10.0,0.25,2.8000000000000003,100.0,1302,305,10.780754523123495,66,0,934,934,100.0,1858,beta_scan,2
990,10,0,0.07,10.0,0.25,2.8000000000000003,100.0,1303,295,12.973681426526497,69,0,931,931,100.0,1852,beta_scan,3
990,10,0,0.07,10.0,0.25,2.8000000000000003,100.0,1304,319,12.468600734811945,62,0,938,938,100.0,1866,beta_scan,4
990,10,0,0.07,10.0,0.25,2.8000000000000003,100.0,1305,247,13.674356640680866,92,0,908,908,100.0,1806,beta_scan,5
990,10,0,0.05,6.0,0.25,1.2000000000000002,100.0,1401,63,22.808827159781938,574,3,423,423,100.0,839,contact_scan,1
990,10,0,0.05,6.0,0.25,1.2000000000000002,100.0,1402,75,16.80743778472127,514,0,486,486,100.0,962,contact_scan,2
990,10,0,0.05,6.0,0.25,1.2000000000000002,100.0,1403,45,34.23355145906609,685,0,315,315,100.0,620,contact_scan,3
990,10,0,0.05,6.0,0.25,1.2000000000000002,100.0,1404,56,28.486932242303197,593,0,407,407,100.0,804,contact_scan,4
990,10,0,0.05,6.0,0.25,1.2000000000000002,100.0,1405,34,30.979972037521485,729,0,271,271,100.0,532,contact_scan,5
990,10,0,0.05,10.0,0.25,2.0,100.0,1501,174,21.14567035928393,198,0,802,802,100.0,1594,contact_scan,1
990,10,0,0.05,10.0,0.25,2.0,100.0,1502,151,13.58039504774136,234,0,766,766,100.0,1522,contact_scan,2
990,10,0,0.05,10.0,0.25,2.0,100.0,1503,203,13.781468807947816,171,0,829,829,100.0,1648,contact_scan,3
990,10,0,0.05,10.0,0.25,2.0,100.0,1504,159,22.860359554860793,195,0,805,805,100.0,1600,contact_scan,4
990,10,0,0.05,10.0,0.25,2.0,100.0,1505,164,17.717953617174693,171,0,829,829,100.0,1648,contact_scan,5
990,10,0,0.05,14.0,0.25,2.8000000000000003,100.0,1601,279,14.004226035392207,95,0,905,905,100.0,1800,contact_scan,1
990,10,0,0.05,14.0,0.25,2.8000000000000003,100.0,1602,253,13.51378011924449,90,0,910,910,100.0,1810,contact_scan,2
990,10,0,0.05,14.0,0.25,2.8000000000000003,100.0,1603,274,12.450137193016653,77,0,923,923,100.0,1836,contact_scan,3
990,10,0,0.05,14.0,0.25,2.8000000000000003,100.0,1604,254,14.577189365371384,81,0,919,919,100.0,1828,contact_scan,4
990,10,0,0.05,14.0,0.25,2.8000000000000003,100.0,1605,266,10.67147998152323,87,0,913,913,100.0,1816,contact_scan,5
990,10,0,0.05,10.0,0.15,3.3333333333333335,100.0,1701,354,14.911603964753194,40,0,960,960,100.0,1910,gamma_scan,1
990,10,0,0.05,10.0,0.15,3.3333333333333335,100.0,1702,359,18.159437037690203,58,0,942,942,100.0,1874,gamma_scan,2
990,10,0,0.05,10.0,0.15,3.3333333333333335,100.0,1703,378,13.695822411678156,37,0,963,963,100.0,1916,gamma_scan,3
990,10,0,0.05,10.0,0.15,3.3333333333333335,100.0,1704,353,17.813397708006214,40,0,960,960,100.0,1910,gamma_scan,4
990,10,0,0.05,10.0,0.15,3.3333333333333335,100.0,1705,345,14.935620747697117,31,0,969,969,100.0,1928,gamma_scan,5
990,10,0,0.05,10.0,0.25,2.0,100.0,1801,196,12.02913253634903,184,0,816,816,100.0,1622,gamma_scan,1
990,10,0,0.05,10.0,0.25,2.0,100.0,1802,177,13.920255427200575,155,0,845,845,100.0,1680,gamma_scan,2
990,10,0,0.05,10.0,0.25,2.0,100.0,1803,158,19.296881002294633,182,0,818,818,100.0,1626,gamma_scan,3
990,10,0,0.05,10.0,0.25,2.0,100.0,1804,193,20.622618926014486,168,0,832,832,100.0,1654,gamma_scan,4
990,10,0,0.05,10.0,0.25,2.0,100.0,1805,151,21.547709927273218,208,0,792,792,100.0,1574,gamma_scan,5
990,10,0,0.05,10.0,0.35,1.4285714285714286,100.0,1901,79,18.42784515963033,450,0,550,550,100.0,1090,gamma_scan,1
990,10,0,0.05,10.0,0.35,1.4285714285714286,100.0,1902,72,24.62658273333197,479,0,521,521,100.0,1032,gamma_scan,2
990,10,0,0.05,10.0,0.35,1.4285714285714286,100.0,1903,88,19.34034266734605,439,0,561,561,100.0,1112,gamma_scan,3
990,10,0,0.05,10.0,0.35,1.4285714285714286,100.0,1904,34,14.697407211088859,561,0,439,439,100.0,868,gamma_scan,4
990,10,0,0.05,10.0,0.35,1.4285714285714286,100.0,1905,78,15.07939108681926,403,0,597,597,100.0,1184,gamma_scan,5
